JobTitle,Department,DatePosted,StartDate,Openings,Wage,RealWages,DateScraped
Testing Center Clerk/Proctor,Testing Services,2023-08-02,2023-08-02,40,12,12,2023-08-29
# Student Custodian,PF Acad & Athletic Bldg Care,2023-08-01,2023-08-01,5,15,15,2023-08-29
# Student Custodian,PF Acad & Athletic Bldg Care,2023-08-01,2023-08-01,6,15,15,2023-08-29
Alumni Records Specialist AM,Alumni Activities Div,2023-08-01,2023-08-01,2,11,11,2023-08-29
Alumni Records Specialist PM,Alumni Activities Div,2023-08-01,2023-08-01,2,11,11,2023-08-29
BYU Alumni RISE Specialist,Alumni Relations,2023-08-01,2023-08-01,1,11,11,2023-08-29
Building Operational Worker,Facilities,2023-08-01,2023-08-01,1,14.6,14.6,2023-08-29
Grad Asst,"CE Research, Planning & Asmnt",2023-08-01,2023-08-01,1,15.6,15.6,2023-08-29
HINCKLEY CENTER  5am-8:30am M-F,PF Acad & Athletic Bldg Care,2023-08-01,2023-08-01,4,14.8,14.8,2023-08-29
Office Specialist I,Plant and Wildlife Sciences,2023-08-01,2023-08-01,1,12,12,2023-08-29
Student Custodian,PF Acad & Athletic Bldg Care,2023-08-01,2023-08-01,5,15,15,2023-08-29
BYU Store Sales Associate,BYU Store Campus Store,2023-07-20,2023-07-20,9,12,12,2023-08-29
Big 12 Events Set Up + FREE Textbooks,Special Events,2023-07-21,2023-07-21,3,15,15,2023-08-29
Custodial,Facilities,2023-07-31,2023-07-31,4,14.6,14.6,2023-08-29
PF Data Entry Specialist,PF AVP Office,2023-07-31,2023-07-31,1,14,14,2023-08-29
Graphic Designer,Marketing and Production,2023-07-27,2023-07-27,2,15,15,2023-08-29
Lab Assistant,Civil and Construction Enginee,2023-07-27,2023-07-27,1,15,15,2023-08-29
AV Media Services Production Specialist,Clark Law School,2023-07-26,2023-07-26,2,13,13,2023-08-29
Assistant Podcast Producer,BYUB Operations,2023-07-21,2023-07-21,2,15,15,2023-08-29
CougarTech Computer Repair Technician,BYU Store Campus Store,2023-07-25,2023-07-25,1,15,15,2023-08-29
Event and Office Specialist,Physical and Mathematical Sci,2023-07-25,2023-07-25,1,14,14,2023-08-29
Graphic Designer (Employee or Intern),Dean's Office Humanities,2023-07-25,2023-07-25,1,14,14,2023-08-29
Media and Office Specialist,Physical and Mathematical Sci,2023-07-25,2023-07-25,1,14,14,2023-08-29
Student Building Care,Physical Facilities Division,2023-07-25,2023-07-25,20,14.8,14.8,2023-08-29
Writer/Editor (Employee -internship credit available),Humanities,2023-07-25,2023-07-25,1,13,13,2023-08-29
Computer Lab Media Operator,McKay School of Educ,2023-07-18,2023-07-18,1,10,10,2023-08-29
Desk Attendant,Housing Administration,2023-07-19,2023-07-19,6,11,11,2023-08-29
Desk Attendant,Housing Administration,2023-07-21,2023-07-21,10,11,11,2023-08-29
High School Math Peer Educator,CE The Student Success Center,2023-07-20,2023-07-20,4,13.5,13.5,2023-08-29
Human Resource Student Assistant,CE Finance & Business Services,2023-07-19,2023-07-19,2,11.5,11.5,2023-08-29
Project Assistant,Cntr for Teaching and Learning,2023-07-20,2023-07-20,1,14,14,2023-08-29
Student Wellness Operations Employee/Student Fitness Center Attendant,Campus Life Facility Adm & Srv,2023-07-19,2023-07-19,4,11.25,11.25,2023-08-29
Wellness Program Coordinator,Human Resource Development,2023-07-20,2023-07-20,3,13,13,2023-08-29
School of Music Crew,School of Music,2023-07-07,2023-07-07,25,12.25,12.25,2023-08-29
Testing Assistant,CE The Student Success Center,2023-07-06,2023-07-06,5,11,11,2023-08-29
Lifeguard,Campus Life Facility Adm & Srv,2023-06-28,2023-06-28,12,12.5,12.48,2023-08-29
# Student Custodian,PF Acad & Athletic Bldg Care,2023-06-21,2023-06-21,4,15,14.97,2023-08-29
# Student Custodian,PF Acad & Athletic Bldg Care,2023-06-21,2023-06-21,5,15,14.97,2023-08-29
Law Society Admin Assistant,Law School,2023-06-21,2023-06-21,1,11,10.98,2023-08-29
CSC Bakery Worker (Fall),Dining Services,2023-06-14,2023-06-14,11,12,11.98,2023-08-29
CSC Worker,Dining Services,2023-06-14,2023-06-14,10,12,11.98,2023-08-29
# Weekend Student Custodian,PF Acad & Athletic Bldg Care,2023-02-09,2023-02-09,2,15,14.76,2023-08-29
Resident Assistant,Housing Administration,2023-06-07,2023-06-07,100,12.4,12.38,2023-08-29
Romney Institute Videographer,Public Service and Ethics,2023-05-25,2023-05-25,1,13,12.93,2023-08-29
Writer,Fine Arts and Communications,2023-05-09,2023-05-09,1,12,11.94,2023-08-29
Customer Service Rep,BYU Continuing Education,2023-04-17,2023-04-17,5,12.5,12.4,2023-08-29
RB Student Custodial,Physical Facilities Division,2023-04-17,2023-04-17,30,14.8,14.69,2023-08-29
Intramural Sports Official,Intramurals,2023-04-14,2023-04-14,15,13.5,13.4,2023-08-29
FHSS Writing Lab Advisor,"Family, Home, Social Sciences",2023-04-11,2023-04-11,6,13.5,13.4,2023-08-29
# Student Custodian,PF Acad & Athletic Bldg Care,2023-04-08,2023-04-08,5,15,14.89,2023-08-29
Chinese Flagship Tutor,Language Flagship,2023-03-14,2023-03-14,1,12,11.850000000000001,2023-08-29
